date,amount,account_code,account_name,vendor,description,journal_ref
2024-04-23,1000.0,6100,Rent Expense,Bayview Logistics,Supplies order,JE-10000
2024-09-12,459.22,6900,Repairs & Maintenance,Bayview Logistics,Vendor payment,JE-10001
2024-07-26,1086.48,6900,Repairs & Maintenance,Apex Payroll Services,Supplies order,JE-10002
2024-04-07,3004.64,6100,Rent Expense,Citywide Rentals LLC,Vendor payment,JE-10003
2024-10-22,50.0,2000,Accounts Payable,Acme Supplies Inc,Service rendered,JE-10004
2024-01-30,1062.03,6800,Insurance Expense,Standard Bank,Service rendered,JE-10005
2024-04-04,717.52,6500,Travel & Entertainment,Standard Bank,Service rendered,JE-10006
2024-08-23,4126.71,4000,Sales Revenue,Apex Payroll Services,Equipment lease,JE-10007
2024-02-07,8390.6,4000,Sales Revenue,Customer C Holdings,Vendor payment,JE-10008
2024-02-27,6216.25,4000,Sales Revenue,Bayview Logistics,Equipment lease,JE-10009
2024-01-30,1505.49,2000,Accounts Payable,Customer D Industries,Routine purchase,JE-10010
2024-06-06,379.15,6700,Software Subscriptions,Apex Payroll Services,Vendor payment,JE-10011
2024-11-22,6741.32,6000,Salaries Expense,Bridgepoint Travel,Vendor payment,JE-10012
2024-03-12,3072.8,5000,Cost of Goods Sold,Customer B LLC,Equipment lease,JE-10013
2024-06-05,6029.77,5000,Cost of Goods Sold,Quantum Software Inc,Supplies order,JE-10014
2024-10-14,7054.52,6000,Salaries Expense,Pacific Office Co,Subscription renewal,JE-10015
2024-10-17,1330.74,6600,Marketing Expense,Acme Supplies Inc,Reimbursement,JE-10016
2024-11-29,1269.76,6600,Marketing Expense,Vector IT Solutions,Vendor payment,JE-10017
2024-07-15,421.93,6200,Utilities Expense,Summit Marketing Group,Subscription renewal,JE-10018
2024-01-09,10000.0,6100,Rent Expense,Customer C Holdings,Reimbursement,JE-10019
2024-07-31,182.95,6700,Software Subscriptions,Standard Bank,Supplies order,JE-10020
2024-04-11,644.55,6200,Utilities Expense,Bayview Logistics,Equipment lease,JE-10021
2024-06-13,1282.6,6200,Utilities Expense,Customer A Corp,Subscription renewal,JE-10022
2024-05-10,1573.02,6010,Payroll Tax Expense,Pacific Office Co,Service rendered,JE-10023
2024-10-09,2892.73,6100,Rent Expense,Brightway Group #1922,Service rendered,JE-10024
2024-04-17,4413.53,4000,Sales Revenue,Bridgepoint Travel,Supplies order,JE-10025
2024-07-23,284.46,6200,Utilities Expense,Vector IT Solutions,Supplies order,JE-10026
2024-11-27,2929.5,2000,Accounts Payable,Bridgepoint Travel,Routine purchase,JE-10027
2024-03-05,1031.47,6010,Payroll Tax Expense,Citywide Rentals LLC,Service rendered,JE-10028
2024-09-28,2970.83,6100,Rent Expense,Greenline Insurance,Reimbursement,JE-10029
2024-02-14,458.36,6200,Utilities Expense,Bridgepoint Travel,Monthly invoice,JE-10030
2024-08-16,9616.59,4000,Sales Revenue,Northstar Utilities,Reimbursement,JE-10031
2024-05-21,3290.39,5000,Cost of Goods Sold,Apex Payroll Services,Recurring charge,JE-10032
2024-12-03,5841.76,5100,Inventory Purchases,Customer C Holdings,Equipment lease,JE-10033
2024-03-09,845.4,6010,Payroll Tax Expense,Customer B LLC,Equipment lease,JE-10034
2024-09-02,2993.73,6100,Rent Expense,Customer D Industries,Reimbursement,JE-10035
2024-12-02,874.29,6010,Payroll Tax Expense,Acme Supplies Inc,Subscription renewal,JE-10036
2024-01-16,775.43,6500,Travel & Entertainment,Reliant Repair Services,Vendor payment,JE-10037
2024-04-10,5951.44,2000,Accounts Payable,Customer B LLC,Recurring charge,JE-10038
2024-11-01,2848.06,6100,Rent Expense,Vector IT Solutions,Reimbursement,JE-10039
2024-04-03,6467.14,4000,Sales Revenue,Bayview Logistics,Recurring charge,JE-10040
2024-08-02,999.8,6600,Marketing Expense,Vista Trading Co #1927,Service rendered,JE-10041
