date,amount,debit_amount,credit_amount,account_code,account_name,vendor,description,journal_ref,dr_cr_pattern
2024-03-02,1000.0,1000.0,0.0,6500,Travel & Entertainment,Pacific Office Co,Service rendered,JE-10000,non_standard
2024-02-02,459.22,459.22,0.0,6900,Repairs & Maintenance,Northstar Utilities,Equipment lease,JE-10001,non_standard
2024-10-30,7479.6,7479.6,0.0,5100,Inventory Purchases,Customer C Holdings,Reimbursement,JE-10002,standard
2024-11-20,5116.09,0.0,5116.09,4000,Sales Revenue,Bridgepoint Travel,Subscription renewal,JE-10003,standard
2024-01-19,50.0,50.0,0.0,7000,Cash Disbursements,Greenline Insurance,Equipment lease,JE-10004,standard
2024-07-13,2325.39,2325.39,0.0,5000,Cost of Goods Sold,Bayview Logistics,Recurring charge,JE-10005,non_standard
2024-06-18,5609.5,0.0,5609.5,4000,Sales Revenue,Customer C Holdings,Routine purchase,JE-10006,standard
2024-04-05,480.27,480.27,0.0,6500,Travel & Entertainment,Citywide Rentals LLC,Routine purchase,JE-10007,non_standard
2024-02-07,7183.73,7183.73,0.0,5100,Inventory Purchases,Citywide Rentals LLC,Subscription renewal,JE-10008,standard
2024-07-19,1540.55,1540.55,0.0,6600,Marketing Expense,Apex Payroll Services,Reimbursement,JE-10009,non_standard
2024-05-31,2916.08,2916.08,0.0,6100,Rent Expense,Citywide Rentals LLC,Monthly invoice,JE-10010,non_standard
2024-10-11,617.57,617.57,0.0,6500,Travel & Entertainment,Acme Supplies Inc,Service rendered,JE-10011,non_standard
2024-05-17,3482.09,0.0,3482.09,2000,Accounts Payable,Customer B LLC,Service rendered,JE-10012,standard
2024-05-23,405.46,405.46,0.0,6700,Software Subscriptions,Customer A Corp,Reimbursement,JE-10013,non_standard
2024-06-13,4168.5,4168.5,0.0,6400,Professional Fees,Northstar Utilities,Vendor payment,JE-10014,standard
2024-10-27,4331.79,0.0,4331.79,4100,Service Revenue,Quantum Software Inc,Vendor payment,JE-10015,standard
2024-03-29,1330.74,1330.74,0.0,6600,Marketing Expense,Apex Payroll Services,Service rendered,JE-10016,non_standard
2024-04-12,464.95,464.95,0.0,6200,Utilities Expense,Acme Supplies Inc,Routine purchase,JE-10017,non_standard
2024-06-06,1069.0,1069.0,0.0,6600,Marketing Expense,Acme Supplies Inc,Monthly invoice,JE-10018,non_standard
2024-10-23,7500.0,7500.0,0.0,6100,Rent Expense,Customer C Holdings,Vendor payment,JE-10019,non_standard
2024-10-18,182.95,182.95,0.0,6700,Software Subscriptions,Customer B LLC,Reimbursement,JE-10020,non_standard
2024-04-03,2107.9,2107.9,0.0,6600,Marketing Expense,Customer A Corp,Recurring charge,JE-10021,non_standard
2024-07-18,1164.84,1164.84,0.0,5100,Inventory Purchases,Bridgepoint Travel,Equipment lease,JE-10022,non_standard
2024-10-17,7045.82,0.0,7045.82,2000,Accounts Payable,Pacific Office Co,Recurring charge,JE-10023,standard
2024-11-21,24479.79,24479.79,0.0,6800,Insurance Expense,Vector IT Solutions,Monthly invoice,JE-10024,non_standard
2024-04-17,1541.95,1541.95,0.0,6400,Professional Fees,Customer B LLC,Reimbursement,JE-10025,standard
2024-10-10,81.35,81.35,0.0,6300,Office Supplies,Standard Bank,Subscription renewal,JE-10026,non_standard
2024-08-30,4775.66,0.0,4775.66,4000,Sales Revenue,Apex Payroll Services,Subscription renewal,JE-10027,standard
2024-12-31,2688.84,2688.84,0.0,7000,Cash Disbursements,Pacific Office Co,Subscription renewal,JE-10028,standard
2024-11-07,4099.94,4099.94,0.0,1200,Accounts Receivable,Citywide Rentals LLC,Routine purchase,JE-10029,standard
2024-05-27,3205.88,0.0,3205.88,2000,Accounts Payable,Apex Payroll Services,Equipment lease,JE-10030,standard
